iter	Accuracy	Logloss
940	1	0.0182276785
941	1	0.01822763623
942	1	0.0182044948
943	1	0.01816483758
944	1	0.01814974138
945	1	0.01811343245
946	1	0.01807228655
947	1	0.01804418298
948	1	0.01804413127
949	1	0.01800718395
950	1	0.01798732086
951	1	0.01795504736
952	1	0.0179176234
953	1	0.01790814888
954	1	0.01790569842
955	1	0.01788769748
956	1	0.01786010737
957	1	0.01781645171
958	1	0.01779657135
959	1	0.01777782779
960	1	0.01776848165
961	1	0.01774270836
962	1	0.01773106927
963	1	0.01770180029
964	1	0.01761166704
965	1	0.01760014147
966	1	0.01760014085
967	1	0.01756163573
968	1	0.01753957909
969	1	0.01751866016
970	1	0.01751858873
971	1	0.01748859857
972	1	0.01745223244
973	1	0.0174450646
974	1	0.01742415495
975	1	0.01738835857
976	1	0.01734428012
977	1	0.01729612241
978	1	0.01728550141
979	1	0.01727181217
980	1	0.01725088225
981	1	0.01722799234
982	1	0.01719633018
983	1	0.01717168515
984	1	0.01711765875
985	1	0.01708539844
986	1	0.01706406973
987	1	0.01703901305
988	1	0.01701997289
989	1	0.01700823973
990	1	0.01700820286
991	1	0.01698298455
992	1	0.01696011024
993	1	0.01695408171
994	1	0.01690091603
995	1	0.01687348303
996	1	0.01685337943
997	1	0.01685332652
998	1	0.01682276844
999	1	0.01677684475
